AÑO,ARTICULO,GRAMOS_PERSONA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,ZONA
2022,Carnes 1_ /                                       ,14,0.1066,0.1085,0.1086,0.1102,0.1102,0.1099,0.1112,0.1112,0.1113,0.1108,0.1103,0.1145,Rural
2022,Grasas 2 _ /                                      ,14,0.0413,0.042,0.0423,0.0436,0.0459,0.0458,0.0468,0.0481,0.0482,0.0494,0.0501,0.0506,Rural
2022,Huevos                                            ,30,0.0989,0.0971,0.0945,0.0957,0.1003,0.1046,0.1069,0.1027,0.1023,0.107,0.1106,0.1093,Rural
2022,Leche Fluida *                                    ,31,0.0275,0.0289,0.03,0.031,0.032,0.0327,0.0309,0.0327,0.0328,0.032,0.0334,0.0326,Rural
2022,Frutas 3_ /                                       ,16,0.0132,0.013,0.0142,0.0136,0.0135,0.0138,0.0139,0.0142,0.0141,0.0138,0.014,0.0144,Rural
2022,Frijoles                                          ,60,0.1226,0.1249,0.1281,0.1283,0.1361,0.1444,0.1424,0.1459,0.1448,0.1514,0.1586,0.1579,Rural
2022,Azúcar                                            ,65,0.0731,0.0732,0.0737,0.0734,0.0733,0.0743,0.0738,0.0731,0.0733,0.0739,0.0738,0.073,Rural
2022,Costo diario por persona                          ,0,11177.0,11132.0,11263.0,11661.0,11621.0,12359.0,12667.0,12766.0,12375.0,13043.0,13051.0,12914.0,Rural
2022,más 10% (cocción)                                 ,0,12295.0,12245.0,12389.0,12827.0,12783.0,13595.0,13934.0,14043.0,13613.0,14347.0,14356.0,14205.0,Rural
2022,Costo diario por familia de 4.26 miembros         ,0,52377.0,52166.0,52777.0,54643.0,54454.0,57913.0,59357.0,59822.0,57991.0,61118.0,61157.0,60513.0,Rural
2022,Costo mensual por familia**                       ,0,1571320.0,1564966.0,1583306.0,1639286.0,1633632.0,1737395.0,1780716.0,1794674.0,1739719.0,1833553.0,1834719.0,1815402.0,Rural
2023,,,,,,,,,,,,,,,Rural
2023,Tortillas                                         ,402,0.6961,0.6948,0.7073,0.7179,0.7089,0.7089,0.7352,0.7039,0.7272,0.7335,0.7033,0.6779,Rural
2023,Arroz                                             ,39,0.0594,0.0597,0.0594,0.0592,0.0588,0.0594,0.0604,0.06,0.06,0.0598,0.0604,0.06,Rural
2023,Carnes 1_ /                                       ,14,0.1129,0.1138,0.1143,0.1143,0.1124,0.1128,0.1147,0.1149,0.1146,0.1146,0.1157,0.1162,Rural
2023,Grasas 2 _ /                                      ,14,0.0508,0.0502,0.0503,0.0511,0.0495,0.0504,0.051,0.0497,0.05,0.0501,0.0505,0.0497,Rural
2023,Huevos                                            ,30,0.1109,0.1164,0.1168,0.1182,0.1191,0.1166,0.1149,0.1128,0.113,0.1144,0.1171,0.1215,Rural
2023,Leche Fluida *                                    ,31,0.034,0.0347,0.0341,0.0332,0.0347,0.0332,0.034,0.0348,0.0343,0.0343,0.0332,0.034,Rural
2023,Frutas 3_ /                                       ,16,0.0157,0.0162,0.0162,0.0161,0.0165,0.0168,0.0171,0.0172,0.0173,0.0182,0.0179,0.0179,Rural
2023,Frijoles                                          ,60,0.1649,0.1718,0.171,0.1688,0.1698,0.1717,0.1784,0.1775,0.1775,0.1774,0.1752,0.1722,Rural
2023,Azúcar                                            ,65,0.0731,0.0731,0.0731,0.0735,0.0736,0.0739,0.0741,0.0737,0.0738,0.074,0.0738,0.0744,Rural
2023,Costo diario por persona                          ,0,13178.0,13308.0,13425.0,13522.0,13433.0,13437.0,13799.0,13446.0,13677.0,13763.0,13472.0,13237.0,Rural
2023,más 10% (cocción)                                 ,0,14496.0,14638.0,14768.0,14875.0,14777.0,14780.0,15179.0,14790.0,15045.0,15139.0,14819.0,14560.0,Rural
2023,Costo diario por familia de 4.26 miembros         ,0,61754.0,62360.0,62911.0,63366.0,62948.0,62965.0,64661.0,63007.0,64090.0,64492.0,63129.0,62027.0,Rural
2023,Costo mensual por familia**                       ,0,1852632.0,1870798.0,1887335.0,1900981.0,1888447.0,1888940.0,1939843.0,1890221.0,1922700.0,1934763.0,1893866.0,1860795.0,Rural
2024,,,,,,,,,,,,,,,Rural
2024,Tortillas                                         ,402,0.6748,0.6747,0.6669,0.6465,0.6336,0.6362,0.6438,0.6212,0.618,0.6195,0.6196,0.6459,Rural
2024,Arroz                                             ,39,0.0594,0.0591,0.059,0.0583,0.0594,0.06,0.0613,0.0616,0.0622,0.0614,0.0608,0.061,Rural
